Time,Volts,Measure
101.400,0.10,541
101.500,0.10,538
101.600,0.10,540
101.700,0.10,539
101.800,0.10,540
101.900,0.10,538
102.000,0.10,537
102.100,0.10,540
102.200,0.10,540
102.300,0.10,537
102.400,0.10,534
102.500,0.10,539
102.600,0.10,539
102.700,0.10,540
102.800,0.10,537
102.900,0.10,534
103.000,0.10,538
103.100,0.10,539
103.200,0.10,538
103.300,0.10,538
103.400,0.10,542
103.500,0.10,539
103.600,0.10,538
103.700,0.10,539
103.800,0.10,538
103.900,0.10,542
104.000,0.10,540
104.100,0.10,538
104.200,0.10,538
104.300,0.10,538
104.400,0.10,539
104.500,0.10,539
104.600,0.10,540
104.700,0.10,533
104.800,0.10,539
104.900,0.10,541
105.000,0.10,541
105.100,0.10,539
105.200,0.10,543
105.300,0.10,538
105.400,0.10,540
105.500,0.10,538
105.600,0.10,539
105.700,0.10,533
105.800,0.10,539
105.900,0.10,539
106.000,0.10,540
106.100,0.10,537
106.200,0.10,533
106.300,0.10,539
106.400,0.10,539
106.500,0.10,538
106.600,0.10,538
106.700,0.10,541
106.800,0.10,540
106.900,0.10,540
107.000,0.10,536
107.100,0.10,538
107.200,0.10,540
107.300,0.10,539
107.400,0.10,538
107.500,0.10,536
107.600,0.10,538
107.700,0.10,540
107.800,0.10,539
107.900,0.10,540
108.000,0.10,531
108.100,0.10,539
108.200,0.10,540
108.300,0.10,539
108.400,0.10,538
108.500,0.10,536
108.600,0.10,538
108.700,0.10,538
108.800,0.10,539
108.900,0.10,537
109.000,0.10,535
109.100,0.10,538
109.200,0.10,538
109.300,0.10,539
109.400,0.10,537
109.500,0.10,538
109.600,0.10,539
109.700,0.10,539
109.800,0.10,539
109.900,0.10,539
110.000,0.10,534
110.100,0.10,540
110.200,0.10,539
110.300,0.10,540
110.400,0.10,538
110.500,0.10,541
110.600,0.10,540
110.700,0.10,539
110.800,0.10,532
110.900,0.10,538
111.000,0.10,541
111.100,0.10,540
111.200,0.10,538
111.300,0.10,534
111.400,0.10,540
111.500,0.10,540
111.600,0.10,539
111.700,0.10,539
111.800,0.10,538
111.900,0.10,538
112.000,0.10,540
112.100,0.10,540
112.200,0.10,538
112.300,0.10,541
112.400,0.10,539
112.500,0.10,539
112.600,0.10,540
112.700,0.10,538
112.800,0.10,538
112.900,0.10,540
113.000,0.10,540
113.100,0.10,540
113.200,0.10,537
113.300,0.10,541
113.400,0.10,539
113.500,0.10,539
113.600,0.10,540
113.700,0.10,539
113.800,0.10,537
113.900,0.10,540
114.000,0.10,539
114.100,0.10,534
114.200,0.10,537
114.300,0.10,540
114.400,0.10,539
114.500,0.10,537
114.600,0.10,540
114.700,0.10,539
114.800,0.10,538
114.900,0.10,537
115.000,0.10,537
115.100,0.10,535
115.200,0.10,539
115.300,0.10,540
115.400,0.10,540
115.500,0.10,538
115.600,0.10,539
115.700,0.10,539
115.800,0.10,538
115.900,0.10,539
116.000,0.10,538
116.100,0.10,540
116.200,0.10,540
116.300,0.10,539
116.400,0.10,542
116.500,0.10,537
116.600,0.10,541
116.700,0.10,540
116.800,0.10,539
116.900,0.10,527
117.000,0.10,537
117.100,0.10,539
117.200,0.10,540
117.300,0.10,538
117.400,0.10,534
117.500,0.10,539
117.600,0.10,540
117.700,0.10,540
117.800,0.10,538
117.900,0.10,536
118.000,0.10,538
118.100,0.10,538
118.200,0.10,538
118.300,0.10,538
118.400,0.10,536
118.500,0.10,539
118.600,0.10,538
